type,wx,wy,d1,d2,d3,d4,E_reward,roberto_reward,marvin_reward,reward
explore,12.050,17.550,0.986,7.708,1.200,0.450,-1.8149755001068115,-1013.16,-1013.16,-2026.31
exploit,9.350,18.050,2.017,10.594,0.707,0.950,-0.500000536441803,-149.749,-53.553,-203.302
exploit,9.550,18.200,2.019,10.451,0.626,1.100,-0.5000009536743164,-1023.53,-1023.53,-2047.05
exploit,13.250,18.400,1.997,6.572,0.350,1.300,-0.7366493940353394,-25.581,-35.293,-60.874
exploit,13.100,18.400,1.965,6.708,0.350,1.300,-1.0225282907485962,-25.501,-35.294,-60.795
exploit,10.750,18.250,0.641,9.107,0.500,1.150,-1.8989222049713135,-28.474,-41.575,-70.049
exploit,10.350,18.250,0.632,9.061,0.500,1.150,-2.17142915725708,-32.189,-46.189,-78.378
exploit,9.800,17.600,1.035,9.485,1.275,0.500,-5.265661716461182,-27.826,-43.638,-71.464
exploit,10.250,17.500,0.909,9.400,1.254,0.400,-5.440642833709717,-1020.14,-1020.14,-2040.28
exploit,13.200,17.450,1.948,6.630,1.300,0.350,-10.560521125793457,-26.543,-34.342,-60.885
exploit,13.150,17.850,1.864,6.658,0.900,0.750,-21.108081817626953,-129.298,-33.397,-162.695
exploit,11.500,18.150,0.151,8.603,0.600,1.050,-24.671363830566406,-1016.52,-1016.52,-2033.05
exploit,12.800,18.400,1.593,7.025,0.350,1.300,-33.080448150634766,-141.038,-45.127,-186.165
exploit,10.250,18.200,0.975,9.542,0.559,1.100,-4.170318603515625,-28.013,-44.014,-72.027
exploit,10.600,18.250,0.923,9.500,0.500,1.150,22.269119262695312,-1017.71,-1017.71,-2035.42
exploit,10.350,18.250,1.128,9.170,0.500,1.150,3.3509902954101562,-26.799,-53.806,-80.605
exploit,9.250,17.450,2.036,10.479,1.300,0.350,-37.63268280029297,-27.731,-44.131,-71.862
exploit,9.350,17.450,1.940,10.425,1.304,0.350,-39.59062957763672,-27.286,-43.786,-71.072
exploit,9.800,17.450,1.788,10.324,1.412,0.350,-41.324424743652344,-1019.06,-1019.06,-2038.11
exploit,13.250,17.500,1.865,6.487,1.250,0.400,-52.75310134887695,-1012.68,-1012.68,-2025.37
exploit,12.300,18.400,1.120,7.509,0.350,1.300,-73.23835754394531,-25.879,-37.879,-63.758
exploit,12.950,18.350,1.890,6.595,0.400,1.250,-54.91276550292969,-27.518,-38.873,-66.391
exploit,12.950,18.400,1.922,6.565,0.350,1.300,-50.70697784423828,-26.074,-35.875,-61.949
exploit,13.200,18.300,1.924,6.756,0.450,1.200,-61.97509002685547,-27.601,-36.201,-63.802
exploit,13.050,18.300,1.936,6.684,0.450,1.200,-60.391265869140625,-1013.9,-1013.9,-2027.79
exploit,13.100,18.350,1.974,6.658,0.400,1.250,-56.37236022949219,-27.388,-36.789,-64.177
exploit,12.250,18.400,1.024,7.616,0.350,1.300,-63.18389129638672,-25.364,-38.665,-64.029
exploit,12.400,18.400,1.055,7.408,0.350,1.300,-58.15159606933594,-138.343,-47.038,-185.381
exploit,12.300,18.400,1.198,7.510,0.350,1.300,-61.79635238647461,-141.092,-46.111,-187.203
exploit,12.400,18.350,1.118,7.502,0.400,1.250,-108.56961059570312,-26.244,-36.347,-62.591
exploit,12.200,18.400,1.051,7.679,0.350,1.300,-103.86238098144531,-25.639,-37.241,-62.88
exploit,12.250,18.400,0.942,7.498,0.350,1.300,-94.85257720947266,-27.215,-37.914,-65.129
