type,wx,wy,d1,d2,d3,d4,E_reward,roberto_reward,marvin_reward,reward
explore,12.050,17.550,0.986,7.708,1.200,0.450,-1.8149755001068115,-1013.16,-1013.16,-2026.31
exploit,9.350,18.050,2.017,10.594,0.707,0.950,-0.500000536441803,-149.749,-53.553,-203.302
explore,10.700,18.250,0.918,9.343,0.500,1.150,-0.7957437038421631,-1016.17,-1016.17,-2032.34
explore,10.500,17.450,0.672,7.980,1.300,0.350,-659.6284790039062,-26.286,-43.581,-69.867
explore,10.450,18.250,0.951,9.315,0.500,1.150,-1012.3702392578125,-1018.24,-1018.24,-2036.48
explore,9.450,17.650,1.729,10.277,1.118,0.550,-39.12486267089844,-1017.29,-1017.29,-2034.59
explore,9.300,17.750,0.910,9.378,1.001,0.650,-441.70367431640625,-1019.4,-1019.4,-2038.81
explore,12.450,18.150,1.061,7.409,0.600,1.050,-170.64659118652344,-1014.62,-1014.62,-2029.24
explore,11.950,18.200,0.805,7.797,0.550,1.100,-139.71998596191406,-1014.68,-1014.68,-2029.35
explore,11.950,18.250,0.707,7.881,0.500,1.150,-498.1064453125,-1015.63,-1015.63,-2031.26
explore,13.250,18.000,1.714,6.427,0.750,0.900,-34.421146392822266,-140.789,-43.691,-184.48
explore,10.700,17.600,0.543,9.088,1.150,0.500,-559.4197998046875,-26.547,-42.446,-68.993
explore,12.900,17.700,1.820,6.765,1.050,0.600,-97.26617431640625,-1014.63,-1014.63,-2029.25
explore,12.050,17.850,0.658,7.825,0.900,0.750,-1120.902099609375,-136.145,-38.339,-174.484
explore,9.700,17.550,1.496,9.981,1.282,0.450,-828.0127563476562,-26.966,-45.863,-72.829
explore,13.200,18.050,1.924,6.630,0.700,0.950,-447.07470703125,-1013.18,-1013.18,-2026.36
explore,10.550,17.900,0.798,9.158,0.850,0.800,-1179.33984375,-144.811,-47.811,-192.622
explore,12.550,17.950,0.921,7.246,0.800,0.850,-1051.71044921875,-134.273,-36.471,-170.744
explore,12.350,17.900,0.580,7.966,0.850,0.800,-595.8784790039062,-137.117,-40.913,-178.03
explore,12.050,18.350,0.616,7.930,0.400,1.250,-1175.2154541015625,-26.426,-38.626,-65.052
explore,9.750,17.650,1.579,9.825,1.208,0.550,-521.99560546875,-1016.8,-1016.8,-2033.6
explore,12.400,18.350,1.240,7.409,0.400,1.250,-973.7242431640625,-25.712,-36.91,-62.622
explore,10.250,18.150,1.082,9.571,0.608,1.050,-1327.993896484375,-26.974,-41.074,-68.048
explore,10.550,17.800,0.844,9.365,0.950,0.700,-996.772216796875,-1017.36,-1017.36,-2034.73
explore,13.050,18.300,1.933,6.731,0.450,1.200,-629.3895874023438,-25.533,-34.528,-60.061
explore,10.000,18.100,1.888,10.147,0.738,1.000,-458.5450439453125,-29.249,-45.048,-74.297
explore,11.400,17.900,0.079,8.380,0.850,0.800,100.66124725341797,-137.599,-41.01,-178.609
explore,12.700,17.900,1.535,7.012,0.850,0.800,-901.0469360351562,-133.39,-36.009,-169.399
explore,12.050,17.500,0.966,7.866,1.250,0.400,-738.0838012695312,-28.84,-38.442,-67.282
explore,13.150,18.150,1.857,6.671,0.600,1.050,-650.1407470703125,-1013.54,-1013.54,-2027.08
explore,13.100,17.800,1.655,6.560,0.950,0.700,-837.1471557617188,-133.607,-35.509,-169.116
explore,13.100,17.950,1.782,6.773,0.800,0.850,-1134.022216796875,-1014.38,-1014.38,-2028.76
