type,wx,wy,d1,d2,d3,d4,E_reward,roberto_reward,marvin_reward,reward
exploit,16.435,17.750,3.306,5.109,1.000,0.550,-0.4999999701976776,-1018.21,-1018.21,-2036.42
exploit,16.585,17.600,3.286,5.295,1.150,0.400,-0.4999999701976776,-30.313,-35.016,-65.329
exploit,10.085,18.300,3.153,11.698,0.541,0.918,-0.4999999701976776,-30.866,-52.766,-83.632
exploit,15.435,17.600,2.291,6.202,1.150,0.400,0.150514155626297,-1011.42,-1011.42,-2022.84
exploit,15.385,17.600,2.045,6.475,1.150,0.400,-0.30419161915779114,-1012.86,-1012.86,-2025.72
exploit,12.835,18.000,0.470,9.028,0.750,0.800,-0.4999999701976776,-1013.36,-1013.36,-2026.73
exploit,10.585,18.350,0.954,9.201,0.400,1.150,-0.5000002384185791,-25.413,-45.21,-70.623
exploit,11.235,17.650,1.982,10.505,1.100,0.450,-0.5537720322608948,-1017.79,-1017.79,-2035.58
exploit,11.885,18.300,1.419,9.928,0.450,1.100,8.893232345581055,-26.475,-43.774,-70.249
exploit,9.235,17.750,4.052,12.639,1.000,0.550,-0.9410296678543091,-1023.54,-1023.54,-2047.09
exploit,9.385,17.750,4.050,12.298,1.005,0.550,-1.9185733795166016,-1025.08,-1025.08,-2050.15
exploit,14.035,18.300,0.893,7.665,0.450,1.100,-7.48143196105957,-25.895,-39.593,-65.488
exploit,14.235,18.150,1.073,7.496,0.600,0.950,-5.064348220825195,-136.977,-40.778,-177.755
exploit,14.235,17.600,1.033,7.368,1.150,0.400,-17.562524795532227,-1022.26,-1022.26,-2044.51
exploit,11.885,18.350,1.374,9.729,0.400,1.150,-17.143447875976562,-25.824,-42.324,-68.148
exploit,10.535,18.350,2.765,11.342,0.400,1.150,-18.536460876464844,-28.715,-46.932,-75.647
exploit,10.285,18.300,2.989,11.442,0.461,1.100,-25.016225814819336,-28.928,-47.729,-76.657
exploit,11.985,18.350,1.362,9.717,0.400,1.150,-34.59126281738281,-25.326,-41.916,-67.242
exploit,10.335,17.650,3.000,11.533,1.101,0.450,-39.18042755126953,-1041.98,-1041.98,-2083.95
exploit,17.085,18.350,3.923,4.371,0.403,1.150,-29.68785285949707,-134.814,-142.807,-277.621
exploit,7.935,18.350,3.754,11.922,0.400,1.442,-31.27033805847168,-27.055,-58.053,-85.108
exploit,14.635,18.350,1.551,7.074,0.400,1.150,-43.40760040283203,-25.854,-36.554,-62.408
exploit,11.935,18.350,1.312,9.711,0.400,1.150,-43.83460235595703,-25.118,-42.822,-67.94
exploit,14.185,18.350,1.081,7.521,0.400,1.150,-49.36921310424805,-25.963,-37.572,-63.535
exploit,13.885,18.350,0.900,7.837,0.400,1.150,-39.41337203979492,-25.734,-39.935,-65.669
exploit,10.385,18.350,2.879,11.361,0.400,1.150,-54.422950744628906,-28.383,-52.286,-80.669
exploit,10.385,18.350,3.003,11.411,0.400,1.150,-46.83054733276367,-28.82,-49.821,-78.641
exploit,13.935,18.350,0.778,7.766,0.400,1.150,-49.05415725708008,-26.194,-38.391,-64.585
exploit,14.185,18.350,1.040,7.644,0.400,1.150,-52.10768127441406,-1002.14,-1002.14,-2004.27
exploit,11.735,18.350,1.425,9.959,0.400,1.150,-63.981956481933594,-30.01,-47.624,-77.634
exploit,14.985,18.350,1.756,6.759,0.400,1.150,-47.83087921142578,-30.46,-34.161,-64.621
exploit,15.135,18.350,1.741,6.804,0.400,1.150,-46.78657913208008,-1010.83,-1010.83,-2021.65
exploit,14.835,18.350,1.656,6.872,0.400,1.150,-57.23902893066406,-25.533,-35.633,-61.166
exploit,11.885,18.350,1.250,9.810,0.400,1.150,-54.946929931640625,-30.019,-46.505,-76.524
exploit,13.735,18.250,0.398,7.931,0.500,1.050,-44.47991943359375,-135.952,-35.053,-171.005
exploit,12.035,18.350,1.323,9.777,0.400,1.150,-56.92704391479492,-27.561,-46.463,-74.024
exploit,12.085,18.350,1.256,9.652,0.400,1.150,-54.956077575683594,-25.2,-42.86,-68.06
exploit,11.885,18.300,1.465,9.742,0.450,1.100,-65.27787780761719,-26.642,-44.939,-71.581
exploit,10.285,18.350,2.941,11.449,0.412,1.150,-63.69940185546875,-25.817,-49.316,-75.133
exploit,10.485,18.350,2.749,11.288,0.400,1.150,-69.61332702636719,-29.441,-49.939,-79.38
exploit,10.635,18.350,2.672,11.113,0.400,1.150,-70.47531127929688,-29.015,-50.216,-79.231
exploit,10.285,18.350,2.955,11.413,0.412,1.150,-67.56401824951172,-30.124,-48.425,-78.549
exploit,11.985,18.350,1.307,9.684,0.400,1.150,-57.08120346069336,-26.788,-43.496,-70.284
exploit,12.085,18.350,1.406,9.442,0.400,1.150,-35.47431564331055,-26.466,-45.958,-72.424
exploit,12.035,18.350,1.316,9.790,0.400,1.150,-62.7532958984375,-27.378,-50.178,-77.556
exploit,11.835,18.350,1.360,9.879,0.400,1.150,-66.6975326538086,-30.257,-48.75,-79.007
exploit,10.685,18.350,2.594,11.038,0.400,1.150,-74.92134094238281,-27.882,-47.982,-75.864
exploit,12.135,18.350,1.191,9.614,0.400,1.150,-72.72831726074219,-27.802,-46.002,-73.804
exploit,16.035,18.350,2.872,5.775,0.400,1.150,-71.6303482055664,-131.046,-32.752,-163.798
exploit,10.285,18.350,3.037,11.458,0.412,1.150,-62.22489929199219,-30.875,-51.373,-82.248
exploit,10.235,18.350,3.013,11.514,0.427,1.150,-65.15473175048828,-31.582,-50.682,-82.264
exploit,10.535,18.350,2.715,11.266,0.400,1.150,-75.97235107421875,-31.109,-48.808,-79.917
exploit,11.785,18.300,1.491,9.629,0.450,1.100,-63.45008087158203,-26.768,-54.472,-81.24
exploit,10.235,18.350,3.093,11.568,0.427,1.150,-62.09225082397461,-29.379,-52.679,-82.058
explore,12.235,17.850,1.062,9.214,0.900,0.650,-367.5137634277344,-30.478,-45.072,-75.55
exploit,11.785,18.350,1.464,9.824,0.400,1.150,-70.81634521484375,-1030.56,-1030.56,-2061.13
exploit,10.235,18.350,3.012,11.564,0.427,1.150,-68.97026062011719,-30.014,-52.213,-82.227
exploit,12.135,17.650,1.179,9.577,1.100,0.450,-37.243831634521484,-28.48,-44.18,-72.66
exploit,12.285,17.650,1.194,9.644,1.100,0.450,-42.76987838745117,-1033.36,-1033.36,-2066.73
exploit,12.085,18.350,1.211,9.606,0.400,1.150,-71.973388671875,-25.422,-41.922,-67.344
exploit,10.635,18.250,2.587,11.103,0.500,1.050,-129.16421508789062,-27.197,-48.898,-76.095
explore,11.135,17.850,2.180,10.723,0.900,0.650,-741.69775390625,-1104.05,-1104.05,-2208.11
exploit,12.285,18.350,1.087,9.597,0.400,1.150,-42.25006103515625,-25.966,-44.264,-70.23
exploit,12.185,18.250,1.166,9.582,0.500,1.050,-103.71826171875,-26.659,-43.065,-69.724
exploit,12.285,18.300,1.079,9.492,0.450,1.100,-68.033447265625,-1034.58,-1034.58,-2069.15
exploit,10.235,18.350,3.100,11.262,0.427,1.150,-64.69062805175781,-30.203,-49.605,-79.808
exploit,10.485,18.350,2.836,11.280,0.400,1.150,-63.03099060058594,-29.989,-61.891,-91.88
exploit,10.685,18.350,2.668,11.190,0.400,1.150,-75.36605834960938,-28.826,-48.426,-77.252
exploit,10.335,18.350,3.218,11.504,0.403,1.150,-62.383277893066406,-31.132,-52.736,-83.868
exploit,10.485,18.300,2.746,11.152,0.450,1.100,-115.1360092163086,-29.19,-48.123,-77.313
