roberto_reward,marvin_reward,reward
-27.075,-50.474,-77.549
-29.268,-47.371,-76.639
-25.604,-49.805,-75.409
-26.259,-50.552,-76.811
-26.953,-49.548,-76.501
-29.063,-49.469,-78.532
-29.253,-48.751,-78.004
-29.753,-48.443,-78.196
-24.705,-48.906,-73.611
-30.158,-50.846,-81.004
-27.043,-49.742,-76.785
-28.705,-49.223,-77.928
-28.809,-48.809,-77.618
-28.438,-51.238,-79.676
-26.686,-49.009,-75.695
-26.741,-50.945,-77.686
-26.767,-50.47,-77.237
-29.093,-49.382,-78.475
-34.702,-53.301,-88.003
-25.748,-49.463,-75.211
-26.25,-49.98,-76.23
-29.576,-49.477,-79.053
-26.429,-47.632,-74.061
-27.727,-48.828,-76.555
-27.695,-51.008,-78.703
-25.103,-48.103,-73.206
-26.68,-48.18,-74.86
-29.787,-48.886,-78.673
-25.814,-51.212,-77.026
-26.761,-49.16,-75.921
-28.613,-52.674,-81.287
-24.578,-46.371,-70.949
-26.556,-47.354,-73.91
-28.541,-49.438,-77.979
-26.098,-48.511,-74.609
-27.273,-50.171,-77.444
-26.111,-48.308,-74.419
-27.71,-49.711,-77.421
-32.583,-53.482,-86.065
-24.423,-50.221,-74.644
-25.437,-47.439,-72.876
-27.007,-48.407,-75.414
-27.642,-48.921,-76.563
-24.659,-48.66,-73.319
-26.556,-50.442,-76.998
-31.409,-57.311,-88.72
-30.815,-49.216,-80.031
-30.914,-50.017,-80.931
-24.412,-49.511,-73.923
-27.588,-48.484,-76.072
-28.064,-48.464,-76.528
-28.992,-48.991,-77.983
-27.814,-50.113,-77.927
-29.218,-50.623,-79.841
-28.777,-49.476,-78.253
-26.61,-49.513,-76.123
-27.854,-47.45,-75.304
-28.871,-48.568,-77.439
-27.357,-49.556,-76.913
-26.67,-47.97,-74.64
-25.378,-48.477,-73.855
-27.829,-47.428,-75.257
-26.806,-51.906,-78.712
-28.54,-47.242,-75.782
-26.944,-47.745,-74.689
-28.612,-49.914,-78.526
-25.375,-48.477,-73.852
-28.683,-49.083,-77.766
-26.759,-49.56,-76.319
-26.667,-49.067,-75.734
-27.485,-47.587,-75.072
-26.852,-49.361,-76.213
-29.162,-48.662,-77.824
-26.651,-48.744,-75.395
-29.568,-48.372,-77.94
-25.594,-49.797,-75.391
-27.378,-50.239,-77.617
-28.79,-48.889,-77.679
-28.512,-47.317,-75.829
-27.173,-48.874,-76.047
-27.69,-49.291,-76.981
-28.487,-49.485,-77.972
-26.628,-48.829,-75.457
-27.057,-48.754,-75.811
-27.222,-50.021,-77.243
-29.626,-49.723,-79.349
-27.357,-47.358,-74.715
-26.588,-48.088,-74.676
-27.828,-49.229,-77.057
-28.642,-50.142,-78.784
-27.196,-52.095,-79.291
-29.322,-49.422,-78.744
-28.804,-50.304,-79.108
-29.528,-49.626,-79.154
-28.098,-49.205,-77.303
-23.868,-49.17,-73.038
-28.185,-50.982,-79.167
-27.412,-51.214,-78.626
-27.773,-47.773,-75.546
-25.055,-47.858,-72.913
