type,wx,wy,d1,d2,d3,d4,E_reward,roberto_reward,marvin_reward,reward
exploit,21.735,17.550,0.288,8.635,0.350,1.200,-103.52783203125,-27.921,-37.718,-65.639
exploit,21.885,17.550,0.254,8.726,0.350,1.200,-104.98779296875,-27.995,-40.896,-68.891
exploit,22.035,17.550,0.284,8.770,0.350,1.200,-104.48583984375,-29.741,-38.259,-68
exploit,21.985,17.550,0.424,8.690,0.350,1.200,-101.64111328125,-26.167,-38.067,-64.234
exploit,21.785,17.550,0.403,8.667,0.350,1.200,-100.43505859375,-29.608,-36.991,-66.599
exploit,21.985,17.550,0.292,8.706,0.350,1.200,-100.63330078125,-28.267,-37.558,-65.825
exploit,21.985,17.550,0.456,8.702,0.350,1.200,-105.2802734375,-29.091,-40.982,-70.073
exploit,21.685,17.550,0.349,8.649,0.350,1.200,-99.419921875,-26.871,-39.068,-65.939
exploit,21.785,17.550,0.445,8.653,0.350,1.200,-105.80126953125,-28.975,-37.775,-66.75
exploit,22.335,17.600,0.811,8.968,0.320,0.680,-87.552734375,-1015.27,-1015.27,-2030.53
exploit,21.935,17.550,0.398,8.696,0.350,1.200,-99.462890625,-27.433,-36.933,-64.366
exploit,21.835,17.550,0.400,8.708,0.350,1.200,-99.68359375,-28.539,-38.038,-66.577
exploit,21.785,17.550,0.362,8.736,0.350,1.200,-99.3515625,-28.34,-37.742,-66.082
exploit,22.085,17.550,0.343,8.803,0.350,1.200,-105.705078125,-27.996,-37.197,-65.193
exploit,21.885,17.550,0.453,8.704,0.350,1.200,-104.94091796875,-1014.99,-1014.99,-2029.98
exploit,21.835,17.600,0.436,8.672,0.400,1.150,-115.26220703125,-1015.78,-1015.78,-2031.56
exploit,22.035,17.550,0.320,8.740,0.350,1.200,-100.18603515625,-25.642,-37.744,-63.386
exploit,21.985,17.550,0.291,8.760,0.350,1.200,-103.21044921875,-26.661,-40.958,-67.619
exploit,21.885,17.550,0.401,8.698,0.350,1.200,-99.6748046875,-1013.64,-1013.64,-2027.27
exploit,21.935,17.550,0.353,8.700,0.350,1.200,-98.06298828125,-25.85,-37.552,-63.402
exploit,21.885,17.550,0.319,8.769,0.350,1.200,-102.37451171875,-28.039,-37.74,-65.779
exploit,21.785,17.550,0.379,8.686,0.350,1.200,-98.580078125,-29.345,-37.143,-66.488
exploit,21.885,17.550,0.371,8.778,0.350,1.200,-102.91845703125,-30.39,-38.893,-69.283
exploit,21.885,17.550,0.378,8.666,0.350,1.200,-99.052734375,-27.826,-37.53,-65.356
exploit,21.885,17.550,0.384,8.599,0.350,1.200,-105.8125,-28.824,-37.828,-66.652
exploit,21.785,17.550,0.286,8.705,0.350,1.200,-101.17138671875,-29.541,-38.64,-68.181
exploit,21.985,17.550,0.295,8.738,0.350,1.200,-101.4794921875,-27.72,-36.62,-64.34
exploit,21.985,17.550,0.358,8.717,0.350,1.200,-98.4501953125,-27.241,-40.539,-67.78
exploit,21.885,17.550,0.388,8.673,0.350,1.200,-99.2568359375,-26.445,-37.847,-64.292
exploit,21.885,17.550,0.310,8.713,0.350,1.200,-99.53515625,-26.507,-40.797,-67.304
exploit,21.935,17.550,0.449,8.654,0.350,1.200,-106.306640625,-30.789,-37.305,-68.094
exploit,22.335,17.600,0.857,8.908,0.320,0.680,-68.61181640625,-29.007,-46.804,-75.811
exploit,21.985,17.600,0.490,8.694,0.400,1.150,-116.142578125,-1015.16,-1015.16,-2030.33
exploit,21.885,17.550,0.426,8.713,0.350,1.200,-101.8857421875,-27.766,-37.376,-65.142
exploit,21.885,17.550,0.292,8.702,0.350,1.200,-100.64990234375,-27.46,-41.353,-68.813
exploit,21.835,17.550,0.373,8.568,0.350,1.200,-110.56640625,-1014.83,-1014.83,-2029.66
exploit,21.835,17.550,0.311,8.662,0.350,1.200,-99.916015625,-28.536,-37.233,-65.769
exploit,22.085,17.550,0.322,8.754,0.350,1.200,-101.0859375,-26.475,-38.192,-64.667
exploit,21.835,17.550,0.305,8.707,0.350,1.200,-99.74755859375,-31.424,-38.325,-69.749
exploit,20.035,17.550,0.418,8.639,0.350,1.200,-103.72802734375,-33.288,-40.19,-73.478
exploit,21.985,17.600,0.437,8.720,0.400,1.150,-114.93115234375,-1015.47,-1015.47,-2030.95
exploit,21.785,17.550,0.264,8.651,0.350,1.200,-104.91552734375,-26.043,-38.438,-64.481
exploit,22.335,17.600,0.792,9.051,0.320,0.680,-106.521484375,-1013.21,-1013.21,-2026.43
exploit,21.935,17.550,0.342,8.644,0.350,1.200,-99.8017578125,-25.572,-40.874,-66.446
exploit,21.935,17.550,0.406,8.654,0.350,1.200,-101.36328125,-28.205,-40.611,-68.816
exploit,21.885,17.550,0.384,8.732,0.350,1.200,-99.6796875,-28.607,-40.211,-68.818
exploit,21.835,17.550,0.449,8.680,0.350,1.200,-104.8984375,-26.6,-39.098,-65.698
