roberto_reward,marvin_reward,reward
-30.011,-130.701,-160.712
-136.101,-38.701,-174.802
-136.805,-139.503,-276.308
-1022.9,-1022.9,-2045.8
-139.4,-42.801,-182.201
-132.101,-31.902,-164.003
-133.4,-33.5,-166.9
-140.802,-159.602,-300.404
-34.3,-133.901,-168.201
-133.902,-34.202,-168.104
-142.1,-155.301,-297.401
-132.802,-35.903,-168.705
-132.606,-36.513,-169.119
-133.402,-151,-284.402
-134.109,-38.902,-173.011
-131.402,-32.003,-163.405
-134.2,-37.718,-171.918
-137.701,-141.1,-278.801
-131.6,-200,-331.6
-134.905,-36.9,-171.805
-132.002,-150.002,-282.004
-29.401,-131.6,-161.001
-132.8,-32.402,-165.202
-133.1,-34.711,-167.811
-133.1,-32.704,-165.804
-134.2,-32.608,-166.808
-131.901,-32.101,-164.002
-134.701,-37.903,-172.604
-134.303,-33.801,-168.104
-133.902,-151.3,-285.202
-136.714,-140.403,-277.117
-37.9,-137.2,-175.1
-133.605,-35.101,-168.706
-131.1,-35.402,-166.502
-133.221,-34.802,-168.023
-1023,-1023,-2046
-132.103,-32.501,-164.604
-31.902,-132.6,-164.502
-135.405,-40.104,-175.509
-135.9,-36.3,-172.2
-34.3,-130.902,-165.202
-133.601,-33.701,-167.302
-132.904,-200,-332.904
-133.2,-32.934,-166.134
-132.3,-32.601,-164.901
-135.102,-152.901,-288.003
-136.5,-140.1,-276.6
-134.701,-33.8,-168.501
-132.302,-32.902,-165.204
-132.202,-33.303,-165.505
-131.603,-33.102,-164.705
-136.3,-143.501,-279.801
-32.1,-133.601,-165.701
-133.701,-159.513,-293.214
-131.003,-33.6,-164.603
-137.401,-140.703,-278.104
-140.004,-141.502,-281.506
-133.002,-34.3,-167.302
-131.413,-34.003,-165.416
-134.904,-34.706,-169.61
-137.8,-143.8,-281.6
-133.004,-30.702,-163.706
-132,-149.402,-281.402
-1023.3,-1023.3,-2046.61
-132.103,-32.801,-164.904
-133.606,-34.901,-168.507
-32.202,-131.601,-163.803
-132.703,-33.901,-166.604
-134.502,-200,-334.502
-131.102,-33.903,-165.005
-32,-131.2,-163.2
-133.6,-33.907,-167.507
-135.101,-39.905,-175.006
-134.202,-200,-334.202
-131.903,-34,-165.903
-133.3,-32.42,-165.72
-131.7,-32.103,-163.803
-135.501,-38.3,-173.801
-136.503,-141.903,-278.406
-131.903,-33.801,-165.704
-36.603,-135.213,-171.816
-133.402,-32.92,-166.322
-133.301,-37.7,-171.001
-135.303,-37.5,-172.803
-132.801,-30.8,-163.601
-131.402,-32.6,-164.002
-132.924,-36.312,-169.236
-130.8,-32.104,-162.904
-131.904,-32.302,-164.206
-132.903,-33.801,-166.704
-31.702,-131.102,-162.804
-37.6,-133.402,-171.002
-132.903,-36.304,-169.207
-131.4,-31.903,-163.303
-134.3,-35.304,-169.604
-33.501,-132.702,-166.203
-137.2,-144.701,-281.901
-131.601,-200,-331.601
-142.917,-46.403,-189.32
-132.101,-32.001,-164.102
