type,wx,wy,d1,d2,d3,d4,E_reward,roberto_reward,marvin_reward,reward
exploit,19.585,9.700,1.856,10.392,1.531,1.550,-50.257164001464844,-28.271,-47.372,-75.643
exploit,17.885,9.650,0.391,8.600,0.922,1.600,-50.3515625,-27.733,-45.733,-73.466
exploit,19.585,9.500,1.982,10.484,1.415,1.744,-50.324676513671875,-29.869,-51.67,-81.539
exploit,18.185,10.000,0.949,8.977,1.250,1.250,-50.02593994140625,-27.158,-46.759,-73.917
exploit,18.035,9.550,0.391,8.782,0.802,1.600,-50.0576171875,-26.608,-44.709,-71.317
exploit,17.785,9.650,0.401,8.593,0.949,1.600,-50.305419921875,-27.716,-44.619,-72.335
exploit,17.735,10.650,0.661,8.758,1.600,0.600,-51.0096435546875,-25.724,-41.324,-67.048
exploit,17.985,10.500,0.823,8.915,1.600,0.750,-51.510894775390625,-26.081,-41.89,-67.971
exploit,19.635,9.900,1.927,10.363,1.699,1.350,-51.42333984375,-28.814,-47.521,-76.335
exploit,16.185,10.550,1.660,7.030,2.052,0.364,-50.117549896240234,-27.122,-40.644,-67.766
exploit,17.835,9.600,0.386,8.605,0.886,1.600,-50.171630859375,-27.224,-43.627,-70.851
exploit,19.385,10.000,1.666,10.116,1.601,1.250,-50.1571044921875,-26.912,-45.012,-71.924
exploit,17.685,9.650,0.362,8.687,0.985,1.600,-50.727294921875,-28.513,-43.605,-72.118
exploit,17.635,10.700,0.756,8.495,1.600,0.550,-50.1656494140625,-25.72,-44.113,-69.833
exploit,19.435,10.050,1.682,10.268,1.671,1.200,-50.20747375488281,-27.984,-44.686,-72.67
exploit,18.385,10.500,1.090,8.972,1.600,0.750,-50.37152099609375,-27.112,-45.219,-72.331
exploit,17.435,9.500,0.408,7.750,0.828,1.945,-50.0325927734375,-27.706,-41.404,-69.11
exploit,17.985,9.650,0.524,8.882,0.906,1.600,-50.919189453125,-28.391,-45.291,-73.682
exploit,17.835,9.650,0.436,8.576,0.934,1.600,-50.185791015625,-27.768,-43.966,-71.734
exploit,18.735,9.950,1.020,9.114,1.250,1.300,-50.07025146484375,-27.988,-45.788,-73.776
exploit,19.535,10.100,1.848,10.249,1.773,1.150,-50.0302734375,-27.126,-47.428,-74.554
exploit,17.985,9.650,0.370,8.763,0.906,1.600,-50.060791015625,-27.681,-45.401,-73.082
exploit,19.435,10.200,1.747,10.143,1.790,1.050,-50.32023620605469,-27.529,-45.828,-73.357
exploit,17.685,10.700,0.779,8.446,1.600,0.550,-50.05255126953125,-25.224,-42.224,-67.448
exploit,16.235,10.550,1.254,7.012,2.086,0.381,-50.39246368408203,-26.367,-42.081,-68.448
exploit,19.685,9.850,1.891,10.459,1.703,1.400,-51.06511688232422,-27.057,-48.759,-75.816
exploit,17.585,8.650,1.407,8.468,0.500,0.500,-50.04345703125,-29.195,-55.563,-84.758
exploit,18.135,9.600,0.566,8.820,0.850,1.600,-51.213623046875,-27.87,-46.173,-74.043
exploit,17.435,9.550,0.526,8.249,0.873,1.909,-50.38232421875,-27.789,-40.289,-68.078
exploit,19.385,9.950,1.703,10.175,1.562,1.300,-50.070709228515625,-28.577,-46.576,-75.153
exploit,17.385,9.500,0.404,8.211,0.808,1.910,-50.0032958984375,-28.458,-42.261,-70.719
exploit,19.585,10.250,1.891,10.316,1.921,1.000,-50.2269287109375,-27.179,-45.879,-73.058
exploit,18.035,9.600,0.442,8.811,0.851,1.600,-50.15576171875,-26.624,-45.623,-72.247
exploit,17.485,9.400,0.667,8.358,0.763,2.052,-50.16461181640625,-27.66,-40.657,-68.317
exploit,17.985,9.550,0.463,8.814,0.806,1.600,-52.201904296875,-27.13,-44.331,-71.461
exploit,19.385,9.950,1.677,10.203,1.562,1.300,-50.17948913574219,-29.314,-47.312,-76.626
exploit,17.885,9.550,0.547,8.697,0.825,1.600,-51.689208984375,-29.187,-44.488,-73.675
exploit,19.635,9.850,1.850,10.409,1.665,1.400,-50.0626220703125,-28.47,-45.89,-74.36
exploit,18.185,10.550,0.858,8.963,1.600,0.700,-50.076629638671875,-26.217,-44.314,-70.531
exploit,19.435,10.050,1.745,10.208,1.671,1.200,-50.4141845703125,-28.365,-45.084,-73.449
exploit,19.485,10.050,1.707,10.313,1.703,1.200,-50.344879150390625,-26.627,-45.323,-71.95
exploit,18.385,9.650,0.925,9.178,0.900,1.600,-50.0504150390625,-28.553,-47.254,-75.807
exploit,17.435,10.650,0.957,8.240,1.600,0.600,-50.034881591796875,-25.764,-42.589,-68.353
exploit,19.235,9.850,1.944,10.013,1.390,1.400,-51.295867919921875,-29.32,-48.819,-78.139
exploit,17.785,8.850,1.395,8.582,0.316,0.707,-50.05999755859375,-29.309,-50.929,-80.238
exploit,17.835,9.500,0.447,8.634,0.791,1.600,-50.777099609375,-26.685,-43.49,-70.175
exploit,17.935,9.050,1.028,8.875,0.335,0.901,-50.00244140625,-27.286,-45.498,-72.784
exploit,19.335,9.650,1.678,9.742,1.309,1.600,-50.02874755859375,-30.133,-45.433,-75.566
exploit,17.435,9.450,0.498,8.211,0.783,1.981,-50.1041259765625,-27.473,-40.278,-67.751
