type,wx,wy,d1,d2,d3,d4,E_reward,roberto_reward,marvin_reward,reward
dummy,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
dummy,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
exploit,17.013,17.988,3.747,4.692,0.763,0.788,-0.4999999701976776,-139.9,-27.1,-167
exploit,14.776,18.229,1.615,6.907,0.521,1.030,-0.4999999701976776,-1011.3,-1011.3,-2022.6
exploit,13.530,17.684,0.479,8.160,1.066,0.484,-0.4999999701976776,-1017.3,-1017.3,-2034.61
exploit,9.305,18.286,3.914,12.453,0.465,1.086,-0.4999999701976776,-1021.52,-1021.52,-2043.04
exploit,10.554,18.108,2.627,11.127,0.642,0.909,-0.4999999701976776,-1020.6,-1020.6,-2041.2
exploit,11.355,18.349,1.877,10.392,0.402,1.149,-0.5000017285346985,-14.402,-35.503,-49.905
exploit,11.917,17.790,1.342,9.829,0.960,0.590,-0.537312388420105,-1016.01,-1016.01,-2032.01
explore,15.506,18.299,2.321,6.205,0.451,1.099,-5.876763820648193,-19.106,-25.102,-44.208
exploit,15.891,17.610,2.764,5.767,1.141,0.410,-0.7612133026123047,-1013.5,-1013.5,-2027
exploit,15.497,17.550,2.373,6.224,1.200,0.351,-2.699334144592285,-18.911,-24.11,-43.021
exploit,12.844,18.278,0.441,8.903,0.472,1.078,-3.93446946144104,-18.2,-33.604,-51.804
exploit,12.666,18.262,0.572,9.083,0.488,1.063,-3.575227975845337,-200,-200,-400
exploit,14.543,17.550,1.319,6.983,1.200,0.350,-6.302550792694092,-17.406,-26.904,-44.31
exploit,9.672,17.597,3.505,12.005,1.216,0.397,-3.0986576080322266,-15.503,-39.103,-54.606
explore,9.864,18.583,3.358,11.876,0.518,0.572,-10.309301376342773,-15.701,-40.706,-56.407
explore,12.808,17.568,0.602,8.851,1.182,0.369,-22.392383575439453,-1099.71,-1099.71,-2199.42
exploit,16.202,18.345,3.072,5.553,0.406,1.145,-7.585257530212402,-24.006,-26.905,-50.911
exploit,16.112,18.312,2.932,5.572,0.439,1.112,-9.607189178466797,-24.104,-27.11,-51.214
explore,14.037,17.705,0.905,7.675,1.045,0.505,-24.06682777404785,-1013.61,-1013.61,-2027.21
exploit,13.863,18.267,0.662,7.832,0.483,1.067,-10.394449234008789,-1014.31,-1014.31,-2028.62
exploit,11.002,17.613,2.333,10.691,1.137,0.413,-11.2028226852417,-1019.62,-1019.62,-2039.23
exploit,10.989,17.673,2.301,10.696,1.077,0.473,-14.020627975463867,-1019.3,-1019.3,-2038.61
explore,9.985,17.915,3.269,11.741,0.926,0.715,-33.508338928222656,-14.702,-200,-214.702
explore,15.552,18.012,2.355,6.160,0.739,0.812,-32.71812438964844,-153.4,-160.403,-313.803
exploit,15.352,17.709,2.159,6.388,1.041,0.510,-24.739450454711914,-1013.6,-1013.6,-2027.2
exploit,9.309,17.630,3.893,12.387,1.120,0.431,-21.09607696533203,-14.5,-40.804,-55.304
exploit,16.649,17.607,3.475,5.064,1.143,0.408,-22.322437286376953,-25.433,-27.632,-53.065
exploit,17.004,17.595,3.872,4.730,1.156,0.395,-24.708627700805664,-1015.31,-1015.31,-2030.63
exploit,9.184,17.559,4.013,12.550,1.191,0.359,-26.225006103515625,-14.303,-41.504,-55.807
exploit,12.112,18.349,1.148,9.619,0.401,1.150,-23.51508903503418,-200,-200,-400
exploit,11.755,18.344,1.429,10.002,0.407,1.144,-22.604656219482422,-14.312,-34.406,-48.718
explore,16.574,17.999,3.233,5.012,0.751,0.799,-38.64617919921875,-1171.82,-1171.82,-2343.64
exploit,17.118,18.322,3.922,4.625,0.436,1.122,-27.122962951660156,-140.301,-24.4,-164.701
exploit,13.117,18.094,0.062,8.629,0.657,0.894,-30.27418327331543,-1017.11,-1017.11,-2034.23
exploit,13.155,18.169,0.128,8.566,0.581,0.970,-32.275299072265625,-1015.11,-1015.11,-2030.22
exploit,15.751,18.333,2.514,5.943,0.417,1.133,-36.879146575927734,-18.102,-22.603,-40.705
explore,14.296,18.250,1.038,7.442,0.500,1.050,-43.268287658691406,-1014,-1014,-2028
exploit,14.710,17.562,1.617,7.021,1.188,0.363,-29.794200897216797,-18.107,-25.513,-43.62
exploit,14.531,17.552,1.280,7.112,1.198,0.352,-33.682621002197266,-1012.8,-1012.8,-2025.6
exploit,10.364,17.563,2.835,11.390,1.187,0.364,-35.11956024169922,-17.002,-41.303,-58.305
exploit,10.298,18.329,2.947,11.415,0.430,1.129,-35.564842224121094,-16.718,-39.302,-56.02
explore,15.504,17.976,2.305,6.211,0.774,0.776,-69.70445251464844,-146.302,-27.8,-174.102
explore,11.050,18.029,2.112,10.653,0.721,0.829,-51.95998764038086,-14.503,-200,-214.503
explore,9.671,18.283,3.524,12.015,0.605,0.842,-54.85871124267578,-14.516,-39.329,-53.845
explore,16.079,18.042,2.901,5.667,0.708,0.842,-55.741512298583984,-140.501,-24.308,-164.809
exploit,9.797,17.568,3.443,11.955,1.288,0.369,-41.51197052001953,-1021.81,-1021.81,-2043.61
exploit,11.446,17.580,1.791,10.230,1.170,0.381,-40.69605255126953,-17.002,-38.803,-55.805
