roberto_reward,marvin_reward,reward
-1008.1,-1008.1,-2016.2
-1011,-1011,-2022
-1008.8,-1008.8,-2017.6
-1008.1,-1008.1,-2016.21
-1012.8,-1012.8,-2025.6
-1008,-1008,-2016
-1008.3,-1008.3,-2016.61
-1008.61,-1008.61,-2017.21
-1007,-1007,-2014
-1007.1,-1007.1,-2014.2
-1008.4,-1008.4,-2016.8
-1006.8,-1006.8,-2013.6
-1012.1,-1012.1,-2024.2
-1013.2,-1013.2,-2026.4
-1008.2,-1008.2,-2016.4
-1008.1,-1008.1,-2016.21
-1011.33,-1011.33,-2022.65
-1012.52,-1012.52,-2025.04
-1011.21,-1011.21,-2022.42
-1007.9,-1007.9,-2015.8
-1007.5,-1007.5,-2015
-1007.42,-1007.42,-2014.85
-1007.7,-1007.7,-2015.4
-1012.5,-1012.5,-2025
-1008.5,-1008.5,-2017
-1007.4,-1007.4,-2014.8
-1013.4,-1013.4,-2026.8
-1012.3,-1012.3,-2024.6
-1009.3,-1009.3,-2018.6
-1011.6,-1011.6,-2023.21
-1007.9,-1007.9,-2015.8
-1007.8,-1007.8,-2015.6
-1011.8,-1011.8,-2023.6
-1012.4,-1012.4,-2024.81
-1007.4,-1007.4,-2014.8
-1008.92,-1008.92,-2017.85
-1012.4,-1012.4,-2024.8
-1007.6,-1007.6,-2015.2
-1011.5,-1011.5,-2023
-1008,-1008,-2016
-1009,-1009,-2018
-1011.9,-1011.9,-2023.8
-1012,-1012,-2024
-1011.8,-1011.8,-2023.6
-1011.61,-1011.61,-2023.21
-1010.5,-1010.5,-2021
-1011.5,-1011.5,-2023
-1011.3,-1011.3,-2022.6
-1007.8,-1007.8,-2015.6
-1009.4,-1009.4,-2018.8
-1008.6,-1008.6,-2017.2
-1008.3,-1008.3,-2016.6
-1011.8,-1011.8,-2023.6
-1013.4,-1013.4,-2026.8
-1009.5,-1009.5,-2019
-1007.8,-1007.8,-2015.6
-1010.11,-1010.11,-2020.21
-1009.6,-1009.6,-2019.2
-27.1,-142.8,-169.9
-1007.9,-1007.9,-2015.8
-1008.11,-1008.11,-2016.21
-1006.9,-1006.9,-2013.81
-1012.43,-1012.43,-2024.86
-1010.1,-1010.1,-2020.2
-1008.3,-1008.3,-2016.6
-1007.5,-1007.5,-2015
-1007.11,-1007.11,-2014.22
-1008,-1008,-2016
-1012.1,-1012.1,-2024.2
-1009.4,-1009.4,-2018.81
-1013.8,-1013.8,-2027.61
-1008.91,-1008.91,-2017.83
-1008.5,-1008.5,-2017
-1011.4,-1011.4,-2022.81
-1012.2,-1012.2,-2024.4
-1011.2,-1011.2,-2022.4
-1009,-1009,-2018
-1012.01,-1012.01,-2024.02
-1008.1,-1008.1,-2016.2
-1007,-1007,-2014
-1011.4,-1011.4,-2022.8
-1011.6,-1011.6,-2023.2
-1011.1,-1011.1,-2022.2
-1014.5,-1014.5,-2029
-1010.6,-1010.6,-2021.21
-1009,-1009,-2018
-1012.9,-1012.9,-2025.81
-1008,-1008,-2016
-1007.5,-1007.5,-2015
-1009.8,-1009.8,-2019.6
-1010.9,-1010.9,-2021.8
-1010.5,-1010.5,-2021
-1008,-1008,-2016.01
-1006.9,-1006.9,-2013.8
-1012.1,-1012.1,-2024.2
-1008.4,-1008.4,-2016.8
-1012,-1012,-2024.01
-1011.1,-1011.1,-2022.2
-1013.93,-1013.93,-2027.86
-1009.23,-1009.23,-2018.46
