roberto_reward,marvin_reward,reward
-26.461,-79.565,-106.026
-25.285,-77.394,-102.679
-24.621,-84.756,-109.377
-26.685,-79.792,-106.477
-24.884,-80.212,-105.096
-24.496,-78.188,-102.684
-24.372,-77.994,-102.366
-25.354,-77.448,-102.802
-23.78,-78.28,-102.06
-27.64,-81.163,-108.803
-25.328,-79.447,-104.775
-23.732,-78.869,-102.601
-24.573,-89.01,-113.583
-23.903,-78.038,-101.941
-24.226,-77.034,-101.26
-28.538,-79.958,-108.496
-25.578,-82.886,-108.464
-23.43,-83.541,-106.971
-26.294,-81.328,-107.622
-22.858,-79.661,-102.519
-26.513,-82.739,-109.252
-25.157,-79.659,-104.816
-25.745,-78.045,-103.79
-23.834,-77.744,-101.578
-24.937,-81.368,-106.305
-27.374,-85.192,-112.566
-23.306,-78.728,-102.034
-23.194,-78.601,-101.795
-26.347,-80.959,-107.306
-24.536,-80.445,-104.981
-25.496,-78.822,-104.318
-25.157,-83.371,-108.528
-25.763,-78.78,-104.543
-24.775,-84.291,-109.066
-24.551,-80.672,-105.223
-24.532,-76.468,-101
-26.502,-81.123,-107.625
-24.438,-79.683,-104.121
-24.664,-78.568,-103.232
-24.453,-77.859,-102.312
-26.402,-80.303,-106.705
-24.242,-76.753,-100.995
-25.235,-84.757,-109.992
-26.169,-80.774,-106.943
-25.543,-80.946,-106.489
-28.778,-77.781,-106.559
-24.543,-78.268,-102.811
-24.143,-79.947,-104.09
-25.35,-82.758,-108.108
-22.708,-77.142,-99.85
-26.072,-78.181,-104.253
-25.419,-79.831,-105.25
-22.991,-88.121,-111.112
-24.878,-85.501,-110.379
-24.066,-78.1,-102.166
-24.808,-78.896,-103.704
-24.123,-78.227,-102.35
-25.902,-86.406,-112.308
-24.509,-78.221,-102.73
-25.337,-75.631,-100.968
-24.7,-80.11,-104.81
-26.484,-79.813,-106.297
-23.377,-78.605,-101.982
-25.66,-78.65,-104.31
-25.428,-78.544,-103.972
-24.337,-82.447,-106.784
-24.891,-79.31,-104.201
-26.299,-79.604,-105.903
-24.942,-79.268,-104.21
-23.364,-77.915,-101.279
-23.584,-79.786,-103.37
-24.842,-80.856,-105.698
-24.069,-77.484,-101.553
-25.422,-89.23,-114.652
-26.327,-77.138,-103.465
-24.752,-80.458,-105.21
-24.088,-79.602,-103.69
-24.319,-79.022,-103.341
-25.635,-80.091,-105.726
-26.541,-81.648,-108.189
-25.365,-78.893,-104.258
-24.832,-76.941,-101.773
-25.024,-80.453,-105.477
-23.974,-77.892,-101.866
-23.089,-77.499,-100.588
-24.38,-200,-224.38
-24.536,-78.651,-103.187
-24.567,-200,-224.567
-23.609,-77.614,-101.223
-24.224,-80.43,-104.654
-25.822,-78.527,-104.349
-26.573,-79.579,-106.152
-23.861,-78.348,-102.209
-24.788,-78.996,-103.784
-25.233,-79.646,-104.879
-26.037,-80.966,-107.003
-24.57,-81.179,-105.749
-26.331,-79.843,-106.174
-25.431,-81.931,-107.362
-25.439,-79.257,-104.696
