roberto_reward,marvin_reward,reward
-1008.9,-1008.9,-2017.8
-1010.31,-1010.31,-2020.61
-25.801,-27.4,-53.201
-1012.4,-1012.4,-2024.8
-32.901,-30.005,-62.906
-1009.71,-1009.71,-2019.42
-1009.7,-1009.7,-2019.4
-1009.2,-1009.2,-2018.4
-1010.8,-1010.8,-2021.61
-25.7,-24.8,-50.5
-26.403,-31.202,-57.605
-1012.11,-1012.11,-2024.21
-1011.9,-1011.9,-2023.8
-1012.7,-1012.7,-2025.4
-27.9,-29.404,-57.304
-1008.71,-1008.71,-2017.42
-1010.5,-1010.5,-2021
-25.602,-30.905,-56.507
-27.302,-29.601,-56.903
-1011.7,-1011.7,-2023.41
-26.919,-26.501,-53.42
-1012.6,-1012.6,-2025.21
-25.502,-28.302,-53.804
-1011.2,-1011.2,-2022.4
-30.101,-31.9,-62.001
-26.509,-30.006,-56.515
-27.109,-31,-58.109
-25.606,-30.605,-56.211
-1010.3,-1010.3,-2020.61
-1011.3,-1011.3,-2022.61
-132.002,-32.701,-164.703
-34.5,-135,-169.5
-27.505,-32.305,-59.81
-25.804,-32.232,-58.036
-1009.5,-1009.5,-2019
-1008.6,-1008.6,-2017.2
-1007.8,-1007.8,-2015.6
-28.7,-28.7,-57.4
-25.703,-31.41,-57.113
-1009.7,-1009.7,-2019.41
-28.609,-34.209,-62.818
-134.101,-37.1,-171.201
-1008.5,-1008.5,-2017
-1011.9,-1011.9,-2023.8
-1009.8,-1009.8,-2019.6
-25.704,-31.403,-57.107
-1014.41,-1014.41,-2028.82
-27.01,-28.106,-55.116
-131.4,-31.206,-162.606
-29.604,-30.925,-60.529
-26.4,-27.906,-54.306
-1009.8,-1009.8,-2019.6
-130.5,-32.904,-163.404
-27.9,-30.016,-57.916
-1012.2,-1012.2,-2024.4
-1009.41,-1009.41,-2018.81
-1011.1,-1011.1,-2022.2
-130.502,-32.9,-163.402
-33.008,-34.201,-67.209
-26.31,-30.401,-56.711
-1009.12,-1009.12,-2018.23
-1009.5,-1009.5,-2019
-1009,-1009,-2018.01
-25.4,-28.103,-53.503
-1008.3,-1008.3,-2016.61
-24.908,-29.801,-54.709
-26.202,-27.509,-53.711
-1012.3,-1012.3,-2024.6
-1010.9,-1010.9,-2021.8
-1009.9,-1009.9,-2019.8
-1009.7,-1009.7,-2019.4
-1010.01,-1010.01,-2020.01
-1011.5,-1011.5,-2023
-1009.2,-1009.2,-2018.4
-1012.3,-1012.3,-2024.6
-25.818,-27.819,-53.637
-26.603,-28.301,-54.904
-25.504,-28.805,-54.309
-26.002,-31.4,-57.402
-1011.7,-1011.7,-2023.4
-26.302,-28,-54.302
-1010,-1010,-2020
-1009.3,-1009.3,-2018.6
-134.511,-143.5,-278.011
-28.301,-32.312,-60.613
-1008.9,-1008.9,-2017.8
-1009.3,-1009.3,-2018.6
-1011.4,-1011.4,-2022.8
-1010.1,-1010.1,-2020.21
-27.101,-27.205,-54.306
-131.202,-33.5,-164.702
-26.003,-30.805,-56.808
-1009.9,-1009.9,-2019.8
-26.601,-26.301,-52.902
-26.804,-30.603,-57.407
-25.91,-28.5,-54.41
-1008.6,-1008.6,-2017.2
-26.801,-28.502,-55.303
-1008.9,-1008.9,-2017.8
-1009.41,-1009.41,-2018.82
