roberto_reward,marvin_reward,reward
-1007.8,-1007.8,-2015.6
-18.3,-20.204,-38.504
-31.6,-19.702,-51.302
-17.801,-18.905,-36.706
-1008.8,-1008.8,-2017.6
-1008.8,-1008.8,-2017.6
-18.402,-18.903,-37.305
-18.204,-19.703,-37.907
-18.503,-18.802,-37.305
-1010.3,-1010.3,-2020.61
-1007.2,-1007.2,-2014.4
-18.103,-19.604,-37.707
-18,-20.502,-38.502
-1007.8,-1007.8,-2015.6
-17.919,-19.404,-37.323
-17.9,-19.5,-37.4
-1007.2,-1007.2,-2014.4
-1008.6,-1008.6,-2017.2
-18.702,-21.301,-40.003
-17.701,-18.704,-36.405
-1007.81,-1007.81,-2015.61
-1010.3,-1010.3,-2020.6
-18.115,-20.002,-38.117
-18.5,-17.801,-36.301
-21.301,-20.407,-41.708
-1006.9,-1006.9,-2013.8
-1009.1,-1009.1,-2018.2
-1009.6,-1009.6,-2019.2
-19.111,-19.506,-38.617
-1007.8,-1007.8,-2015.61
-18.905,-19.701,-38.606
-18.004,-20.1,-38.104
-1007.8,-1007.8,-2015.6
-1010.8,-1010.8,-2021.6
-18.202,-20.3,-38.502
-1010.2,-1010.2,-2020.4
-17.92,-19.902,-37.822
-18.1,-19.2,-37.3
-18.401,-20.103,-38.504
-1008.92,-1008.92,-2017.83
-1008.5,-1008.5,-2017
-1007.9,-1007.9,-2015.8
-1011.5,-1011.5,-2023.01
-1009.9,-1009.9,-2019.8
-1010.9,-1010.9,-2021.8
-17.503,-19.802,-37.305
-1010.8,-1010.8,-2021.61
-18.6,-20.706,-39.306
-18.601,-18.705,-37.306
-18.4,-18.102,-36.502
-1009.8,-1009.8,-2019.6
-1008.41,-1008.41,-2016.83
-17.801,-18.705,-36.506
-1008.3,-1008.3,-2016.6
-17.702,-18.8,-36.502
-18.002,-19.202,-37.204
-1008.8,-1008.8,-2017.6
-1007.2,-1007.2,-2014.4
-17.804,-18.702,-36.506
-1010.8,-1010.8,-2021.61
-1008.3,-1008.3,-2016.61
-1007.51,-1007.51,-2015.02
-18.107,-18.702,-36.809
-17.704,-20.202,-37.906
-1012.3,-1012.3,-2024.61
-1012,-1012,-2024.01
-17.9,-19.203,-37.103
-1008.71,-1008.71,-2017.42
-1008.61,-1008.61,-2017.21
-1007.3,-1007.3,-2014.6
-1007.62,-1007.62,-2015.24
-1010.7,-1010.7,-2021.4
-17.804,-19.203,-37.007
-1008,-1008,-2016
-1010.4,-1010.4,-2020.8
-1007.9,-1007.9,-2015.8
-18.108,-20.006,-38.114
-1010.1,-1010.1,-2020.2
-18.201,-19.6,-37.801
-18.007,-18.502,-36.509
-1010.81,-1010.81,-2021.63
-17.709,-20.104,-37.813
-18.528,-19.502,-38.03
-17.801,-19.402,-37.203
-1006.9,-1006.9,-2013.81
-1008.8,-1008.8,-2017.61
-1006.91,-1006.91,-2013.82
-1009.21,-1009.21,-2018.41
-18.103,-18.702,-36.805
-17.507,-18.719,-36.226
-1007.6,-1007.6,-2015.2
-17.803,-18.801,-36.604
-1011.8,-1011.8,-2023.6
-17.604,-18.503,-36.107
-18.501,-20.301,-38.802
-1009.51,-1009.51,-2019.02
-18,-18.803,-36.803
-18.904,-18.718,-37.622
-18.702,-20.322,-39.024
-17.701,-19.101,-36.802
