roberto_reward,marvin_reward,reward
-1011.9,-1011.9,-2023.8
-22.101,-22.501,-44.602
-1014.4,-1014.4,-2028.8
-1008.9,-1008.9,-2017.8
-1011.8,-1011.8,-2023.6
-24.202,-25.603,-49.805
-1007.9,-1007.9,-2015.81
-24.103,-23.104,-47.207
-1007.5,-1007.5,-2015
-1009.9,-1009.9,-2019.8
-1007.24,-1007.24,-2014.47
-1012.9,-1012.9,-2025.81
-1009.6,-1009.6,-2019.2
-1007.8,-1007.8,-2015.6
-21.503,-21.802,-43.305
-1010.9,-1010.9,-2021.8
-1011.52,-1011.52,-2023.03
-1007.1,-1007.1,-2014.2
-1007.1,-1007.1,-2014.2
-21.303,-22.503,-43.806
-1009.9,-1009.9,-2019.8
-21.814,-22.401,-44.215
-22.641,-23.903,-46.544
-1011.81,-1011.81,-2023.62
-1008.32,-1008.32,-2016.64
-1008,-1008,-2016
-1012.1,-1012.1,-2024.2
-1007.9,-1007.9,-2015.8
-1011.3,-1011.3,-2022.6
-1012.93,-1012.93,-2025.86
-22.802,-24.2,-47.002
-1010,-1010,-2020.01
-1008.4,-1008.4,-2016.8
-142.201,-30.201,-172.402
-1008.3,-1008.3,-2016.61
-21.601,-22.401,-44.002
-1008.11,-1008.11,-2016.22
-1010.71,-1010.71,-2021.41
-22.801,-22.801,-45.602
-1011.91,-1011.91,-2023.83
-1012.5,-1012.5,-2025.01
-21.317,-22.602,-43.919
-22.905,-22.402,-45.307
-25.402,-24.5,-49.902
-21.903,-21.5,-43.403
-1007.2,-1007.2,-2014.4
-22.301,-23,-45.301
-22.301,-24.7,-47.001
-23.401,-23.702,-47.103
-23.901,-22.908,-46.809
-21.805,-22.001,-43.806
-1010,-1010,-2020
-22.2,-22.347,-44.547
-1010.9,-1010.9,-2021.8
-1007.91,-1007.91,-2015.81
-1009.7,-1009.7,-2019.4
-22.601,-23.501,-46.102
-1007.92,-1007.92,-2015.85
-1010.7,-1010.7,-2021.41
-22.203,-25.101,-47.304
-1007,-1007,-2014
-21.705,-22.704,-44.409
-23.031,-24.101,-47.132
-21.501,-24.202,-45.703
-29.405,-162.802,-192.207
-1012.9,-1012.9,-2025.81
-1007.6,-1007.6,-2015.2
-1009.8,-1009.8,-2019.6
-1010.5,-1010.5,-2021.01
-1014.2,-1014.2,-2028.4
-1007.1,-1007.1,-2014.2
-22.002,-22.505,-44.507
-23.302,-23.903,-47.205
-23.002,-23.8,-46.802
-1014.34,-1014.34,-2028.68
-24.9,-23.102,-48.002
-21.822,-23.602,-45.424
-21.72,-23.504,-45.224
-1010.8,-1010.8,-2021.6
-22.104,-22.608,-44.712
-1009.21,-1009.21,-2018.43
-23.602,-25.301,-48.903
-21.801,-22.602,-44.403
-1011.6,-1011.6,-2023.2
-24.009,-27.203,-51.212
-22.8,-25.605,-48.405
-1009.61,-1009.61,-2019.22
-1013.11,-1013.11,-2026.22
-1013.7,-1013.7,-2027.41
-1009.6,-1009.6,-2019.2
-1009.2,-1009.2,-2018.4
-22.001,-22.502,-44.503
-1007.9,-1007.9,-2015.8
-1010.7,-1010.7,-2021.41
-1011.5,-1011.5,-2023
-21.609,-24.101,-45.71
-22,-24.321,-46.321
-1007.2,-1007.2,-2014.4
-1010.3,-1010.3,-2020.6
-21.616,-22.722,-44.338
