roberto_reward,marvin_reward,reward
-1011.5,-1011.5,-2023
-1011,-1011,-2022.01
-1011.3,-1011.3,-2022.6
-1009.4,-1009.4,-2018.8
-1011.1,-1011.1,-2022.21
-1011.6,-1011.6,-2023.2
-1010.8,-1010.8,-2021.61
-1010.8,-1010.8,-2021.6
-1009.5,-1009.5,-2019
-1010.5,-1010.5,-2021
-1012.4,-1012.4,-2024.8
-1009.1,-1009.1,-2018.2
-1008.21,-1008.21,-2016.41
-1010.71,-1010.71,-2021.41
-1011.1,-1011.1,-2022.2
-1007.62,-1007.62,-2015.23
-1008.12,-1008.12,-2016.23
-1008,-1008,-2016.01
-1007.9,-1007.9,-2015.8
-1013.31,-1013.31,-2026.62
-1011.1,-1011.1,-2022.2
-1011.5,-1011.5,-2023
-1007.6,-1007.6,-2015.21
-1011.9,-1011.9,-2023.8
-1007.5,-1007.5,-2015
-1010.9,-1010.9,-2021.81
-1011.1,-1011.1,-2022.21
-1011.1,-1011.1,-2022.2
-1008.9,-1008.9,-2017.8
-21.904,-21.601,-43.505
-1012.9,-1012.9,-2025.8
-1011.8,-1011.8,-2023.6
-1008.3,-1008.3,-2016.6
-1007.7,-1007.7,-2015.4
-1007.7,-1007.7,-2015.4
-1009,-1009,-2018
-1010.7,-1010.7,-2021.4
-1012.2,-1012.2,-2024.4
-1009.5,-1009.5,-2019
-1007.5,-1007.5,-2015
-1010.82,-1010.82,-2021.63
-1008.91,-1008.91,-2017.81
-1010.7,-1010.7,-2021.4
-1011,-1011,-2022
-1011.21,-1011.21,-2022.42
-1011.7,-1011.7,-2023.41
-1010.4,-1010.4,-2020.81
-1008.7,-1008.7,-2017.4
-1007.1,-1007.1,-2014.2
-1007.5,-1007.5,-2015
-1007.71,-1007.71,-2015.42
-1010.6,-1010.6,-2021.21
-1010.8,-1010.8,-2021.6
-1011.93,-1011.93,-2023.86
-1010.9,-1010.9,-2021.8
-1009.02,-1009.02,-2018.03
-1011.2,-1011.2,-2022.4
-1009.1,-1009.1,-2018.2
-1012.2,-1012.2,-2024.4
-1011.41,-1011.41,-2022.81
-1010.9,-1010.9,-2021.8
-1008.8,-1008.8,-2017.6
-1010.3,-1010.3,-2020.6
-1012.2,-1012.2,-2024.4
-1010.5,-1010.5,-2021.01
-1008.7,-1008.7,-2017.4
-1010.9,-1010.9,-2021.8
-1010.4,-1010.4,-2020.8
-1011.8,-1011.8,-2023.61
-1010.4,-1010.4,-2020.8
-1009.1,-1009.1,-2018.2
-1010.41,-1010.41,-2020.82
-1011.61,-1011.61,-2023.21
-1009.11,-1009.11,-2018.21
-1010.5,-1010.5,-2021.01
-1008.11,-1008.11,-2016.21
-1007.7,-1007.7,-2015.4
-1007.81,-1007.81,-2015.61
-1012.41,-1012.41,-2024.82
-1011.81,-1011.81,-2023.61
-1010.8,-1010.8,-2021.6
-1011.5,-1011.5,-2023.01
-1006.9,-1006.9,-2013.8
-1011.4,-1011.4,-2022.8
-1010.81,-1010.81,-2021.61
-1008.9,-1008.9,-2017.81
-1012.2,-1012.2,-2024.4
-1011.2,-1011.2,-2022.4
-1007.2,-1007.2,-2014.4
-1010.7,-1010.7,-2021.4
-1010.61,-1010.61,-2021.23
-1011.6,-1011.6,-2023.2
-1013,-1013,-2026
-1007.5,-1007.5,-2015
-1011.6,-1011.6,-2023.21
-1007.9,-1007.9,-2015.8
-1010.2,-1010.2,-2020.4
-21.211,-20.902,-42.113
-1010.92,-1010.92,-2021.84
-1007.4,-1007.4,-2014.8
