type,wx,wy,d1,d2,d3,d4,E_reward,roberto_reward,marvin_reward,reward
explore,9.971,18.729,1.012,9.289,0.371,0.640,-30.6855525970459,-51.621,-57.72,-109.341
exploit,6.007,18.500,3.883,12.375,0.251,1.340,-0.4999999701976776,-28.129,-52.23,-80.359
exploit,5.639,17.674,3.268,11.801,0.832,0.623,-0.4999999701976776,-1022.75,-1022.75,-2045.51
exploit,11.348,17.202,3.187,5.428,0.037,0.013,-0.4999999701976776,-1018.61,-1018.61,-2037.22
exploit,11.309,18.479,2.999,5.499,0.272,1.280,-0.4999999701976776,-1013.91,-1013.91,-2027.82
exploit,11.291,17.323,1.572,7.186,1.427,0.123,-0.5000626444816589,-1013.3,-1013.3,-2026.6
exploit,13.933,17.256,1.459,7.279,1.494,0.056,-0.5001135468482971,-144.615,-55.817,-200.432
exploit,10.193,17.333,2.020,10.359,1.430,0.134,-0.5229833722114563,-139.219,-48.817,-188.036
exploit,13.283,18.657,1.395,7.265,0.093,1.457,-0.517627477645874,-1014.9,-1014.9,-2029.8
explore,7.676,18.173,0.903,7.764,0.577,1.459,-0.5978990793228149,-37.3,-129.902,-167.202
exploit,13.576,17.464,4.043,4.555,1.286,0.264,-0.5540422797203064,-125.918,-36.216,-162.134
exploit,14.732,17.925,3.986,4.513,0.825,0.725,-0.8151049613952637,-125.924,-36.427,-162.351
explore,1.768,17.484,3.588,12.070,1.600,1.105,-6.261094093322754,-27.987,-49.986,-77.973
exploit,6.319,18.592,2.251,10.780,0.159,1.392,-0.5751017928123474,-1013.11,-1013.11,-2026.22
explore,15.180,17.846,3.967,4.606,0.904,0.646,-61.94318389892578,-1015.84,-1015.84,-2031.69
exploit,13.962,17.543,2.565,5.959,1.208,0.343,-1.4666537046432495,-35.359,-41.558,-76.917
exploit,9.416,17.219,1.123,7.877,0.036,0.027,-1.2863497734069824,-1013.8,-1013.8,-2027.6
exploit,9.884,17.322,0.615,8.509,1.514,0.122,-1.1267931461334229,-130.262,-49.761,-180.023
exploit,8.386,17.158,0.957,8.605,1.655,0.349,-1.3828939199447632,-1014.17,-1014.17,-2028.33
explore,14.674,17.626,1.762,6.790,1.124,0.426,-26.09393310546875,-1013.12,-1013.12,-2026.25
exploit,7.768,18.444,1.508,9.874,0.307,1.615,-4.0985493659973145,-30.506,-48.008,-78.514
exploit,5.114,17.239,2.206,10.613,0.088,0.044,-2.0594868659973145,-156.71,-137.109,-293.819
explore,9.672,17.376,1.484,9.855,1.428,0.176,-16.771507263183594,-1016.25,-1016.25,-2032.51
exploit,14.593,17.218,2.237,6.406,0.046,0.019,-3.040827751159668,-132.665,-48.565,-181.23
exploit,11.848,17.237,2.197,6.429,0.142,0.039,-3.9829154014587402,-1014.15,-1014.15,-2028.29
exploit,10.578,18.636,2.241,6.250,0.114,1.436,-5.7007646560668945,-137.179,-48.679,-185.858
exploit,12.071,18.249,0.200,8.546,0.501,1.049,-6.044241428375244,-1017.05,-1017.05,-2034.09
exploit,6.889,17.125,3.195,11.417,0.255,1.636,-6.009042739868164,-132.204,-50.702,-182.906
exploit,8.776,17.156,3.438,11.924,0.042,0.011,-5.459963321685791,-138.38,-48.384,-186.764
explore,7.578,17.617,2.070,10.537,1.133,1.052,-11.476690292358398,-1020.4,-1020.4,-2040.8
explore,8.840,18.245,3.919,12.507,0.541,1.045,-31.156118392944336,-1022.67,-1022.67,-2045.34
exploit,7.582,18.579,0.747,9.154,0.171,1.702,-10.00704288482666,-145.506,-200,-345.506
exploit,2.445,13.926,5.485,12.950,0.391,1.600,-0.584474503993988,-27.255,-66.453,-93.708
exploit,14.028,17.347,3.245,5.343,1.403,0.147,-9.385886192321777,-1016.19,-1016.19,-2032.38
explore,4.999,18.536,0.808,8.927,0.215,1.118,-51.463233947753906,-142.596,-48.393,-190.989
exploit,2.685,14.609,4.758,12.283,1.600,0.151,-0.8397104740142822,-142.31,-51.612,-193.922
exploit,2.610,14.302,4.914,12.206,1.600,0.225,-0.7066396474838257,-137.589,-49.189,-186.778
exploit,14.621,18.523,3.995,4.613,0.227,1.323,-11.017791748046875,-1012.91,-1012.91,-2025.82
explore,11.688,17.592,0.765,9.058,1.158,0.392,-37.096717834472656,-28.952,-42.738,-71.69
exploit,10.104,17.426,2.973,11.392,1.354,0.226,-11.955693244934082,-1014.41,-1014.41,-2028.83
exploit,9.801,17.428,2.691,11.165,1.419,0.229,-8.671744346618652,-1018.62,-1018.62,-2037.25
exploit,4.564,17.576,3.997,12.546,1.174,0.128,-14.463852882385254,-1013.01,-1013.01,-2026.02
exploit,1.452,14.307,5.343,12.906,1.600,1.383,-2.682929039001465,-27.801,-60.499,-88.3
exploit,9.596,17.797,0.808,7.467,1.003,0.597,-17.01097297668457,-1014.79,-1014.79,-2029.57
exploit,10.322,17.205,0.695,8.864,0.038,0.014,-14.948098182678223,-1023.51,-1023.51,-2047.03
exploit,2.758,14.177,5.075,12.494,0.080,0.287,-1.8145099878311157,-153.18,-138.387,-291.567
exploit,8.780,18.733,2.792,11.289,0.255,0.798,-25.22301483154297,-1013.5,-1013.5,-2027
exploit,5.122,17.421,1.655,9.952,0.248,0.200,-16.48471450805664,-1088.38,-1088.38,-2176.76
exploit,14.509,17.256,3.864,4.845,0.184,0.061,-17.65610694885254,-1013.8,-1013.8,-2027.61
explore,8.891,17.571,2.708,11.048,1.187,0.371,-62.07160949707031,-33.039,-52.334,-85.373
explore,15.290,18.641,2.970,5.563,0.109,1.441,-47.893733978271484,-145.267,-53.027,-198.294
exploit,7.676,17.610,1.172,9.606,1.140,1.138,-16.898387908935547,-1015.33,-1015.33,-2030.65
exploit,10.245,17.227,2.836,11.275,0.094,0.029,-28.900279998779297,-1124.82,-1124.82,-2249.65
exploit,14.653,18.206,1.593,6.656,0.544,1.006,-25.218677520751953,-1011.2,-1011.2,-2022.4
exploit,3.271,18.636,3.933,12.353,1.219,1.436,-27.849990844726562,-30.626,-55.929,-86.555
exploit,2.824,18.901,2.871,11.157,1.600,2.200,-1.0948206186294556,-28.175,-51.779,-79.954
exploit,14.629,17.332,2.495,6.234,1.418,0.132,-30.844100952148438,-139.22,-49.617,-188.837
exploit,6.696,17.246,3.445,11.883,1.504,0.114,-30.46986961364746,-1013.22,-1013.22,-2026.43
exploit,13.921,17.216,1.421,7.005,0.040,0.021,-19.324941635131836,-45.035,-137.437,-182.472
exploit,11.405,17.900,3.124,5.197,0.851,0.700,-30.96698760986328,-127.492,-35.097,-162.589
exploit,16.005,17.942,2.851,5.653,0.809,0.742,-31.620468139648438,-127.535,-35.636,-163.171
exploit,4.438,18.913,4.006,12.451,0.193,0.049,-23.785358428955078,-1014.3,-1014.3,-2028.61
exploit,8.998,17.802,0.029,8.099,0.949,0.602,-21.450973510742188,-1014.27,-1014.27,-2028.54
exploit,2.767,14.247,4.622,12.001,0.068,1.448,-10.619497299194336,-38.246,-133.245,-171.491
explore,7.439,17.206,2.069,6.747,1.297,0.806,-36.819297790527344,-147.189,-52.891,-200.08
