roberto_reward,marvin_reward,reward
-1009.1,-1009.1,-2018.2
-1010.6,-1010.6,-2021.21
-1006.3,-1006.3,-2012.6
-1010.9,-1010.9,-2021.8
-1008.4,-1008.4,-2016.8
-1007.6,-1007.6,-2015.21
-1007.72,-1007.72,-2015.44
-1008.6,-1008.6,-2017.21
-1011.1,-1011.1,-2022.2
-1011,-1011,-2022
-1011.5,-1011.5,-2023
-1007.8,-1007.8,-2015.6
-1008.91,-1008.91,-2017.81
-1008.11,-1008.11,-2016.21
-1007.4,-1007.4,-2014.8
-1006.8,-1006.8,-2013.6
-1012.8,-1012.8,-2025.6
-1007.31,-1007.31,-2014.63
-1007.1,-1007.1,-2014.2
-1011.7,-1011.7,-2023.4
-1013.4,-1013.4,-2026.8
-1007.2,-1007.2,-2014.4
-1010.8,-1010.8,-2021.6
-1010.4,-1010.4,-2020.8
-1010.31,-1010.31,-2020.63
-1010.71,-1010.71,-2021.41
-1012.6,-1012.6,-2025.2
-1006.71,-1006.71,-2013.42
-1010.5,-1010.5,-2021
-1006.4,-1006.4,-2012.8
-1011.2,-1011.2,-2022.41
-1013.1,-1013.1,-2026.21
-1011,-1011,-2022
-1011.11,-1011.11,-2022.22
-1012.3,-1012.3,-2024.6
-1012.2,-1012.2,-2024.4
-1008.9,-1008.9,-2017.8
-1009.1,-1009.1,-2018.2
-1010.8,-1010.8,-2021.6
-1012.2,-1012.2,-2024.4
-1007.3,-1007.3,-2014.6
-1008,-1008,-2016.01
-1011.6,-1011.6,-2023.2
-1008.3,-1008.3,-2016.6
-1007.5,-1007.5,-2015
-1007.6,-1007.6,-2015.21
-1008.9,-1008.9,-2017.8
-1011.61,-1011.61,-2023.22
-1013.4,-1013.4,-2026.8
-1011.6,-1011.6,-2023.2
-1009.3,-1009.3,-2018.6
-1007.7,-1007.7,-2015.4
-1011.12,-1011.12,-2022.23
-1011.4,-1011.4,-2022.8
-1010.5,-1010.5,-2021
-1007.2,-1007.2,-2014.4
-1006.6,-1006.6,-2013.21
-1008.11,-1008.11,-2016.23
-1011,-1011,-2022
-1011.7,-1011.7,-2023.4
-1011.6,-1011.6,-2023.21
-1012.6,-1012.6,-2025.2
-1011.01,-1011.01,-2022.02
-1007.4,-1007.4,-2014.8
-1011.7,-1011.7,-2023.4
-1011.1,-1011.1,-2022.21
-1009.2,-1009.2,-2018.4
-1011.3,-1011.3,-2022.61
-1012.5,-1012.5,-2025
-1012.7,-1012.7,-2025.4
-1011.71,-1011.71,-2023.42
-1068.5,-1068.5,-2137
-1007.8,-1007.8,-2015.6
-1013.5,-1013.5,-2027
-1010.91,-1010.91,-2021.82
-1011.9,-1011.9,-2023.8
-1011.2,-1011.2,-2022.4
-1011.4,-1011.4,-2022.8
-1011.1,-1011.1,-2022.2
-1011.4,-1011.4,-2022.8
-1011.71,-1011.71,-2023.42
-1011.71,-1011.71,-2023.42
-1008.6,-1008.6,-2017.21
-1007.4,-1007.4,-2014.8
-1010.6,-1010.6,-2021.2
-1009.8,-1009.8,-2019.6
-1008,-1008,-2016
-1007.6,-1007.6,-2015.2
-1008.1,-1008.1,-2016.2
-1006.9,-1006.9,-2013.81
-1008.8,-1008.8,-2017.61
-1007.4,-1007.4,-2014.8
-1009.11,-1009.11,-2018.22
-1010.3,-1010.3,-2020.6
-1011.5,-1011.5,-2023
-1010.4,-1010.4,-2020.8
-1008,-1008,-2016.01
-1009.1,-1009.1,-2018.2
-1007,-1007,-2014
-1008,-1008,-2016
