roberto_reward,marvin_reward,reward
-23.502,-24.3,-47.802
-1011.81,-1011.81,-2023.62
-1011.6,-1011.6,-2023.2
-27.301,-26.101,-53.402
-1009.41,-1009.41,-2018.83
-1008,-1008,-2016
-1011.9,-1011.9,-2023.8
-1008.1,-1008.1,-2016.2
-1010.6,-1010.6,-2021.2
-1007.4,-1007.4,-2014.8
-21.904,-22.303,-44.207
-1008.53,-1008.53,-2017.05
-1010.8,-1010.8,-2021.61
-1007.81,-1007.81,-2015.61
-1012.6,-1012.6,-2025.2
-21.704,-22.204,-43.908
-1009.6,-1009.6,-2019.2
-1009.4,-1009.4,-2018.8
-22.101,-22.602,-44.703
-1008.3,-1008.3,-2016.6
-1009.81,-1009.81,-2019.62
-23.002,-23.5,-46.502
-1012,-1012,-2024
-1007.4,-1007.4,-2014.8
-1008.93,-1008.93,-2017.86
-1011.91,-1011.91,-2023.81
-23.006,-22.204,-45.21
-1008.2,-1008.2,-2016.4
-21.91,-22.503,-44.413
-1007.61,-1007.61,-2015.23
-1007.2,-1007.2,-2014.41
-1009.6,-1009.6,-2019.2
-1008.01,-1008.01,-2016.02
-1010.21,-1010.21,-2020.42
-1009,-1009,-2018.01
-1012.4,-1012.4,-2024.8
-1007.7,-1007.7,-2015.41
-1009.6,-1009.6,-2019.2
-1009.1,-1009.1,-2018.2
-21.601,-22.814,-44.415
-1008.2,-1008.2,-2016.4
-21.401,-23.2,-44.601
-1007.4,-1007.4,-2014.81
-1010.51,-1010.51,-2021.01
-1009.6,-1009.6,-2019.2
-32.421,-168.621,-201.042
-23.303,-23.902,-47.205
-1013,-1013,-2026
-1011.5,-1011.5,-2023
-1010.5,-1010.5,-2021
-22.201,-23.4,-45.601
-1007.2,-1007.2,-2014.4
-1008,-1008,-2016
-1012.9,-1012.9,-2025.8
-1002.3,-1002.3,-2004.6
-1007.25,-1007.25,-2014.49
-1012,-1012,-2024.01
-21.401,-22.404,-43.805
-24.002,-23.712,-47.714
-1010.9,-1010.9,-2021.8
-22.32,-22.8,-45.12
-1011.8,-1011.8,-2023.6
-21.903,-22.8,-44.703
-1011.91,-1011.91,-2023.81
-1008.2,-1008.2,-2016.4
-1010,-1010,-2020
-21.902,-22.001,-43.903
-22.203,-23.101,-45.304
-21.5,-22.91,-44.41
-22.8,-23.402,-46.202
-1015.1,-1015.1,-2030.2
-1010,-1010,-2020
-1008.2,-1008.2,-2016.4
-1014.6,-1014.6,-2029.2
-1012.6,-1012.6,-2025.2
-147.914,-32.003,-179.917
-1009.7,-1009.7,-2019.41
-1008.2,-1008.2,-2016.4
-1007.6,-1007.6,-2015.2
-21.405,-22.404,-43.809
-22.406,-23.602,-46.008
-22.7,-22.7,-45.4
-1012.9,-1012.9,-2025.8
-1009.6,-1009.6,-2019.2
-1008.71,-1008.71,-2017.41
-1008.7,-1008.7,-2017.4
-1008.11,-1008.11,-2016.21
-1012.5,-1012.5,-2025.01
-1010.1,-1010.1,-2020.2
-1012.12,-1012.12,-2024.23
-1008.4,-1008.4,-2016.81
-1009,-1009,-2018.01
-22.301,-23.201,-45.502
-36.601,-164.3,-200.901
-1008,-1008,-2016.01
-1007.9,-1007.9,-2015.8
-1010.23,-1010.23,-2020.45
-1011.71,-1011.71,-2023.42
-1010.4,-1010.4,-2020.8
-1008,-1008,-2016
