type,wx,wy,d1,d2,d3,d4,E_reward,roberto_reward,marvin_reward,reward
exploit,11.792,18.262,1.530,10.057,0.489,1.062,-0.4999999701976776,-1000,-1000,-2000
exploit,12.959,18.234,0.461,8.875,0.517,1.034,-0.4999999701976776,-20.387,-32.584,-52.971
exploit,15.202,18.160,1.916,6.637,0.590,0.960,-0.4999999701976776,-1000,-1000,-2000
exploit,15.125,17.321,1.929,6.789,1.429,0.122,-0.5000002980232239,-100,-40.129,-140.129
exploit,14.151,17.381,0.988,7.683,1.369,0.181,-0.5666199922561646,-100,-38.534,-138.534
exploit,14.093,17.210,1.115,7.765,0.043,0.013,-0.6053583025932312,-100,-39.12,-139.12
exploit,14.135,18.663,1.144,7.702,0.087,1.463,-1.0586950778961182,-100,-39.338,-139.338
exploit,11.337,17.279,2.091,10.442,1.471,0.079,-0.7423141598701477,-100,-39.342,-139.342
exploit,11.525,17.336,1.883,10.243,1.414,0.136,-1.2718232870101929,-100,-39.589,-139.589
exploit,12.388,17.338,1.051,9.382,1.412,0.138,-1.3753646612167358,-100,-40.384,-140.384
exploit,12.366,17.225,1.153,9.404,0.085,0.031,-1.9226195812225342,-100,-100,-200
exploit,11.292,17.216,2.102,10.570,0.046,0.018,-1.992659091949463,-100,-40.231,-140.231
exploit,11.320,17.208,2.083,10.533,0.036,0.017,-2.467109441757202,-100,-38.947,-138.947
exploit,13.361,17.777,0.170,8.405,0.973,0.578,-8.058378219604492,-1000,-1000,-2000
exploit,13.352,17.784,0.152,8.395,0.966,0.585,-7.801886081695557,-29.107,-100,-129.107
exploit,12.379,18.635,1.175,9.380,0.115,1.435,-10.166986465454102,-100,-41.746,-141.746
exploit,12.589,18.664,1.012,9.279,0.087,1.464,-7.603156566619873,-100,-38.556,-138.556
explore,14.480,18.229,1.219,7.269,0.521,1.029,-24.204633712768555,-25.449,-100,-125.449
exploit,14.888,17.216,1.775,6.884,0.098,0.016,-8.000333786010742,-100,-100,-200
