type,wx,wy,d1,d2,d3,d4,E_reward,roberto_reward,marvin_reward,reward
explore,12.379,18.455,0.901,9.380,0.295,1.255,-6.1130452156066895,-25.931,-100,-125.931
explore,16.633,18.689,3.527,5.156,0.061,1.489,-6.1130452156066895,-100,-36.401,-136.401
explore,15.493,18.476,2.376,6.284,0.274,1.276,-6.114048004150391,-48.802,-100,-148.802
explore,9.398,17.557,3.809,12.341,0.357,1.198,-6.113051891326904,-14.502,-41.1,-55.602
explore,14.927,17.339,1.871,6.866,0.140,1.411,-31.3984375,-25.122,-100,-125.122
explore,9.855,18.495,3.455,11.951,0.569,0.603,-19.271087646484375,-35,-100,-135
explore,12.795,18.497,0.558,8.888,0.253,1.297,-39.47914505004883,-26.231,-100,-126.231
explore,9.724,18.913,3.538,12.071,0.389,0.611,-55.17118835449219,-1000,-1000,-2000
explore,11.178,18.026,1.920,10.354,0.724,0.826,-11.148107528686523,-1000,-1000,-2000
explore,16.216,17.373,3.099,5.539,0.174,1.377,-52.85347366333008,-100,-41.553,-141.553
explore,12.726,18.662,0.746,9.012,0.089,0.895,-59.02842712402344,-1000,-1000,-2000
explore,11.494,17.559,1.782,10.250,0.359,1.191,-49.12091827392578,-1000,-1000,-2000
explore,12.878,17.811,0.397,8.912,0.611,0.939,-58.8442268371582,-1000,-1000,-2000
explore,16.393,18.212,3.222,5.329,0.538,1.012,-53.756649017333984,-100,-100,-200
explore,11.379,18.575,1.877,10.380,0.175,1.375,-57.65696334838867,-29.002,-100,-129.002
explore,12.721,18.373,0.547,9.000,0.377,1.174,-83.0824966430664,-100,-100,-200
explore,12.153,18.560,1.139,9.522,0.191,1.360,-74.25169372558594,-31.302,-100,-131.302
explore,11.372,17.664,1.797,10.354,0.464,1.086,-79.42613220214844,-1000,-1000,-2000
explore,14.576,18.640,1.524,7.172,0.111,1.395,-45.524471282958984,-24.301,-100,-124.301
explore,10.149,17.813,3.060,11.584,0.613,0.966,-49.86790466308594,-1000,-1000,-2000
explore,11.390,17.526,1.914,10.391,0.326,1.224,-81.7889633178711,-1000,-1000,-2000
explore,9.905,17.217,3.426,11.838,0.026,0.035,-44.06360626220703,-26.6,-100,-126.6
explore,9.665,17.665,3.657,11.878,0.465,1.150,-64.40856170654297,-1000,-1000,-2000
explore,10.723,17.429,2.530,11.050,0.229,1.321,-54.345130920410156,-100,-36.003,-136.003
explore,15.585,18.622,2.448,6.149,0.128,1.422,-69.54108428955078,-100,-100,-200
explore,14.006,18.289,0.719,7.789,0.462,1.089,-39.04690933227539,-1000,-1000,-2000
explore,11.906,17.864,1.281,9.844,0.664,0.887,-73.65782165527344,-1000,-1000,-2000
explore,13.955,18.160,0.837,7.735,0.590,0.960,-63.10260772705078,-100,-29.002,-129.002
explore,9.678,17.832,3.658,11.917,0.632,0.998,-77.19029998779297,-1000,-1000,-2000
explore,14.047,17.621,0.872,7.767,0.421,1.129,-79.44470977783203,-1000,-1000,-2000
explore,15.705,17.222,2.619,6.064,0.030,0.038,-22.588573455810547,-24.6,-100,-124.6
explore,15.522,17.492,2.435,6.198,0.293,1.258,-78.84654998779297,-24.003,-27.304,-51.307
explore,11.981,17.852,1.283,9.666,0.652,0.898,-83.31907653808594,-1000,-1000,-2000
explore,10.520,17.682,2.706,11.155,0.482,1.068,-76.39393615722656,-1000,-1000,-2000
explore,17.035,17.935,3.822,4.728,0.735,0.815,-33.15582275390625,-100,-24.614,-124.614
explore,9.729,17.545,3.484,12.045,0.345,1.284,-72.82552337646484,-1000,-1000,-2000
