type,wx,wy,d1,d2,d3,d4,E_reward,roberto_reward,marvin_reward,reward
explore,19.635,18.350,6.310,2.254,0.400,1.150,-0.4999999701976776,-1010.02,-1010.02,-2020.03
exploit,15.635,17.600,2.432,6.184,1.150,0.400,0.3314562141895294,-1009.42,-1009.42,-2018.84
exploit,15.585,17.600,2.312,6.240,1.150,0.400,0.3249826729297638,-1010.41,-1010.41,-2020.82
explore,16.185,18.350,3.199,5.431,0.400,1.150,-158.61302185058594,-26,-35.6,-61.6
explore,10.185,17.750,-3.116,11.622,1.020,0.550,-0.4999999701976776,-1020.25,-1020.25,-2040.5
exploit,9.385,17.650,-3.820,12.239,1.105,0.450,-0.4999999701976776,-1021.83,-1021.83,-2043.67
explore,13.485,17.750,0.288,8.277,1.000,0.550,-0.5000079870223999,-1014.12,-1014.12,-2028.24
explore,17.485,18.100,4.261,4.265,0.791,0.900,-20.742712020874023,-1010.06,-1010.06,-2020.12
exploit,11.585,18.350,-1.494,9.851,0.400,1.150,-0.501193642616272,-1016.74,-1016.74,-2033.49
explore,9.035,18.350,-2.505,10.913,0.400,1.150,-26.470792770385742,-28.26,-52.46,-80.72
exploit,21.085,17.750,7.907,0.693,1.000,0.550,-0.5031033158302307,-1010.93,-1010.93,-2021.86
explore,21.185,17.950,7.855,0.733,0.800,0.750,-0.5141799449920654,-1011.15,-1011.15,-2022.31
explore,12.235,17.850,-1.073,9.455,0.900,0.650,-160.03501892089844,-1015.71,-1015.71,-2031.42
exploit,14.685,18.350,1.416,7.137,0.400,1.150,-3.4811830520629883,-25.03,-36.23,-61.26
exploit,18.585,17.600,5.347,3.182,1.167,0.400,-4.215024471282959,-29.86,-33.255,-63.115
exploit,18.435,17.600,5.360,3.060,1.151,0.400,-4.276601791381836,-29.374,-33.378,-62.752
explore,11.935,17.950,-1.300,9.835,0.800,0.750,-1008.0863037109375,-1015.65,-1015.65,-2031.29
exploit,16.685,18.350,5.248,3.170,0.400,1.150,-21.216468811035156,-1015.57,-1015.57,-2031.14
exploit,18.385,18.350,5.295,3.358,0.400,1.150,-19.309978485107422,-1013.89,-1013.89,-2027.79
exploit,14.435,17.650,1.251,7.292,1.100,0.450,-24.309743881225586,-1011.98,-1011.98,-2023.95
explore,20.135,17.950,6.863,1.596,0.800,0.750,-119.46549987792969,-30.638,-34.539,-65.177
exploit,16.735,17.650,3.434,5.097,1.100,0.450,-34.210731506347656,-29.412,-34.712,-64.124
exploit,19.985,17.600,6.926,1.658,1.150,0.400,-19.622756958007812,-1013.12,-1013.12,-2026.24
exploit,20.285,17.600,6.867,1.653,1.150,0.400,-17.958805084228516,-26.241,-30.643,-56.884
exploit,16.435,18.350,3.158,5.352,0.400,1.150,-35.42808532714844,-26.375,-33.474,-59.849
explore,16.685,17.900,3.394,5.113,0.850,0.700,-60.464942932128906,-1010.2,-1010.2,-2020.39
